text,label
evolution change heritable characteristic biological population successive generation,evolution_theory
occurs evolutionary process natural selection genetic drift act genetic variation resulting certain characteristic becoming less common within population successive generation,evolution_theory
process evolution given rise biodiversity every level biological organisation scientific theory evolution natural selection conceived independently two british naturalist charles darwin alfred russel wallace midth century explanation organism adapted physical biological environment,evolution_theory
theory first set detail darwin book origin specie,evolution_theory
evolution natural selection established observable fact living organism offspring often produced possibly survive trait vary among individual respect morphology physiology behaviour different trait confer different rate survival reproduction differential fitness trait passed generation generation heritability fitness,evolution_theory
successive generation member population therefore likely replaced offspring parent favourable characteristic environment early th century competing idea evolution refuted evolution combined mendelian inheritance population genetics give rise modern evolutionary theory,evolution_theory
synthesis basis heredity dna molecule pas information generation generation,evolution_theory
process change dna population include natural selection genetic drift mutation gene flow life earthincluding humanityshares last universal common ancestor luca lived approximately billion year ago,evolution_theory
fossil record includes progression early biogenic graphite microbial mat fossil fossilised multicellular organism,evolution_theory
existing pattern biodiversity shaped repeated formation new specie speciation change within specie anagenesis loss specie extinction throughout evolutionary history life earth,evolution_theory
morphological biochemical trait tend similar among specie share recent common ancestor historically used reconstruct phylogenetic tree although direct comparison genetic sequence common method today evolutionary biologist continued study various aspect evolution forming testing hypothesis well constructing theory based evidence field laboratory data generated method mathematical theoretical biology,evolution_theory
discovery influenced development biology also field including agriculture medicine computer science heredity evolution organism occurs change heritable characteristicsthe inherited characteristic organism,evolution_theory
human example eye colour inherited characteristic individual might inherit browneye trait one parent,evolution_theory
inherited trait controlled gene complete set gene within organism genome genetic material called genotype complete set observable trait make structure behaviour organism called phenotype,evolution_theory
trait come interaction genotype environment others neutral,evolution_theory
example suntanned skin come interaction person genotype sunlight thus suntan passed people child,evolution_theory
phenotype ability skin tan exposed sunlight,evolution_theory
however people tan easily others due difference genotypic variation striking example people inherited trait albinism tan sensitive sunburn heritable characteristic passed one generation next via dna molecule encodes genetic information,evolution_theory
dna long biopolymer composed four type base,evolution_theory
sequence base along particular dna molecule specifies genetic information manner similar sequence letter spelling sentence,evolution_theory
cell divide dna copied resulting two cell inherit dna sequence,evolution_theory
portion dna molecule specify single functional unit called gene different gene different sequence base,evolution_theory
within cell long strand dna called chromosome,evolution_theory
specific location dna sequence within chromosome known locus,evolution_theory
dna sequence locus varies individual different form sequence called allele,evolution_theory
mutation occurs within gene new allele may affect trait gene control altering phenotype organism,evolution_theory
however simple correspondence allele trait work case trait influenced multiple gene quantitative epistatic manner source variation evolution occur genetic variation within population,evolution_theory
variation come mutation genome reshuffling gene sexual reproduction migration population gene flow,evolution_theory
despite constant introduction new variation mutation gene flow genome specie similar among individual specie,evolution_theory
however discovery field evolutionary developmental biology demonstrated even relatively small difference genotype lead dramatic difference phenotype within specie individual organism phenotype result genotype influence environment lived,evolution_theory
modern evolutionary synthesis defines evolution change time genetic variation,evolution_theory
frequency one particular allele become less prevalent relative form gene,evolution_theory
variation disappears new allele reach point fixationwhen either disappears population replaces ancestral allele entirely mutation mutation change dna sequence cell genome ultimate source genetic variation organism,evolution_theory
mutation occur may alter product gene prevent gene functioning effect,evolution_theory
half mutation coding region proteincoding gene deleterious half neutral,evolution_theory
small percentage total mutation region confer fitness benefit,evolution_theory
mutation part genome deleterious vast majority neutral,evolution_theory
beneficial mutation involve large section chromosome becoming duplicated usually genetic recombination introduce extra copy gene genome,evolution_theory
extra copy gene major source raw material needed new gene evolve,evolution_theory
important new gene evolve within gene family preexisting gene share common ancestor,evolution_theory
example human eye us four gene make structure sense light three colour vision one night vision four descended single ancestral gene new gene generated ancestral gene duplicate copy mutates acquires new function,evolution_theory
process easier gene duplicated increase redundancy system one gene pair acquire new function copy continues perform original function,evolution_theory
type mutation even generate entirely new gene previously noncoding dna phenomenon termed de novo gene birth generation new gene also involve small part several gene duplicated fragment recombining form new combination new function exon shuffling,evolution_theory
new gene assembled shuffling preexisting part domain act module simple independent function mixed together produce new combination new complex function,evolution_theory
example polyketide synthases large enzyme make antibiotic contain independent domain catalyse one step overall process like step assembly line one example mutation wild boar piglet,evolution_theory
camouflage coloured show characteristic pattern dark light longitudinal stripe,evolution_theory
however mutation melanocortin receptor mcr disrupt pattern,evolution_theory
majority pig breed carry mcr mutation disrupting wildtype colour different mutation causing dominant black colouring sex recombination asexual organism gene inherited together linked mix gene organism reproduction,evolution_theory
contrast offspring sexual organism contain random mixture parent chromosome produced independent assortment,evolution_theory
related process called homologous recombination sexual organism exchange dna two matching chromosome,evolution_theory
recombination reassortment alter allele frequency instead change allele associated producing offspring new combination allele,evolution_theory
sex usually increase genetic variation may increase rate evolution twofold cost sex first described john maynard smith,evolution_theory
first cost sexually dimorphic specie one two sex bear young,evolution_theory
cost apply hermaphroditic specie like plant many invertebrate,evolution_theory
second cost individual reproduces sexually pas gene individual offspring even less passed new generation pass,evolution_theory
yet sexual reproduction common mean reproduction among eukaryote multicellular organism,evolution_theory
red queen hypothesis used explain significance sexual reproduction mean enable continual evolution adaptation response coevolution specie everchanging environment,evolution_theory
another hypothesis sexual reproduction primarily adaptation promoting accurate recombinational repair damage germline dna increased diversity byproduct process may sometimes adaptively beneficial gene flow gene flow exchange gene population specie,evolution_theory
therefore source variation new population specie,evolution_theory
gene flow caused movement individual separate population organism might caused movement mouse inland coastal population movement pollen heavymetaltolerant heavymetalsensitive population grass gene transfer specie includes formation hybrid organism horizontal gene transfer,evolution_theory
horizontal gene transfer transfer genetic material one organism another organism offspring common among bacteria,evolution_theory
medicine contributes spread antibiotic resistance one bacteria acquires resistance gene rapidly transfer specie,evolution_theory
horizontal transfer gene bacteria eukaryote yeast saccharomyces cerevisiae adzuki bean weevil callosobruchus chinensis occurred,evolution_theory
example largerscale transfer eukaryotic bdelloid rotifer received range gene bacteria fungi plant,evolution_theory
virus also carry dna organism allowing transfer gene even across biological domain largescale gene transfer also occurred ancestor eukaryotic cell bacteria acquisition chloroplast mitochondrion,evolution_theory
possible eukaryote originated horizontal gene transfer bacteria archaea epigenetics heritable change explained change sequence nucleotide dna,evolution_theory
dna methylation marking chromatin selfsustaining metabolic loop gene silencing rna interference threedimensional conformation protein prion area epigenetic inheritance system discovered organismic level,evolution_theory
developmental biologist suggest complex interaction genetic network communication among cell lead heritable variation may underlay mechanic developmental plasticity canalisation,evolution_theory
example ecological inheritance process niche construction defined regular repeated activity organism environment,evolution_theory
generates legacy effect modify feed back selection regime subsequent generation,evolution_theory
example heritability evolution direct control gene include inheritance cultural trait symbiogenesis evolutionary force neodarwinian perspective evolution occurs change frequency allele within population interbreeding organism example allele black colour population moth becoming common,evolution_theory
mechanism lead change allele frequency include natural selection genetic drift mutation bias natural selection evolution natural selection process trait enhance survival reproduction become common successive generation population,evolution_theory
embodies three principle variation exists within population organism respect morphology physiology behaviour phenotypic variation different trait confer different rate survival reproduction differential fitness trait passed generation generation heritability fitness offspring produced possibly survive condition produce competition organism survival reproduction,evolution_theory
consequently organism trait give advantage competitor likely pas trait next generation trait confer advantage,evolution_theory
teleonomy quality whereby process natural selection creates preserve trait seemingly fitted functional role perform,evolution_theory
consequence selection include nonrandom mating genetic hitchhiking central concept natural selection evolutionary fitness organism,evolution_theory
fitness measured organism ability survive reproduce determines size genetic contribution next generation,evolution_theory
however fitness total number offspring instead fitness indicated proportion subsequent generation carry organism gene,evolution_theory
example organism could survive well reproduce rapidly offspring small weak survive organism would make little genetic contribution future generation would thus low fitness allele increase fitness allele gene generation allele higher probability becoming common within population,evolution_theory
trait said selected example trait increase fitness enhanced survival increased fecundity,evolution_theory
conversely lower fitness caused less beneficial deleterious allele result allele likely becoming rarerthey selected importantly fitness allele fixed characteristic environment change previously neutral harmful trait may become beneficial previously beneficial trait become harmful,evolution_theory
however even direction selection reverse way trait lost past may reevolve identical form,evolution_theory
however reactivation dormant gene long eliminated genome suppressed perhaps hundred generation lead reoccurrence trait thought lost like hindlegs dolphin teeth chicken wing wingless stick insect tail additional nipple human etc,evolution_theory
throwback known atavism natural selection within population trait vary across range value height categorised three different type,evolution_theory
first directional selection shift average value trait timefor example organism slowly getting taller,evolution_theory
secondly disruptive selection selection extreme trait value often result two different value becoming common selection average value,evolution_theory
would either short tall organism advantage medium height,evolution_theory
finally stabilising selection selection extreme trait value end cause decrease variance around average value less diversity,evolution_theory
would example cause organism eventually similar height natural selection generally make nature measure individual individual trait less likely survive,evolution_theory
nature sense refers ecosystem system organism interact every element physical well biological local environment,evolution_theory
eugene odum founder ecology defined ecosystem unit includes organismsin given area interacting physical environment flow energy lead clearly defined trophic structure biotic diversity material cycle ie exchange material living nonliving part within system population within ecosystem occupies distinct niche position distinct relationship part system,evolution_theory
relationship involve life history organism position food chain geographic range,evolution_theory
broad understanding nature enables scientist delineate specific force together comprise natural selection natural selection act different level organisation gene cell individual organism group organism specie,evolution_theory
example selection occurring level individual organism gene called transposon replicate spread throughout genome,evolution_theory
selection level individual group selection may allow evolution cooperation genetic drift genetic drift random fluctuation allele frequency within population one generation next,evolution_theory
selective force absent relatively weak allele frequency equally likely drift upward downward successive generation allele subject sampling error,evolution_theory
drift halt allele eventually becomes fixed either disappearing population replacing allele entirely,evolution_theory
genetic drift may therefore eliminate allele population due chance alone,evolution_theory
even absence selective force genetic drift cause two separate population begin genetic structure drift apart two divergent population different set allele according neutral theory molecular evolution evolutionary change result fixation neutral mutation genetic drift,evolution_theory
model genetic change population thus result constant mutation pressure genetic drift,evolution_theory
form neutral theory debated since seem fit genetic variation seen nature,evolution_theory
bettersupported version model nearly neutral theory according mutation would effectively neutral small population necessarily neutral large population,evolution_theory
theory propose genetic drift dwarfed stochastic force evolution genetic hitchhiking also known genetic draft,evolution_theory
another concept constructive neutral evolution cne explains complex system emerge spread population neutral transition due principle excess capacity presuppression ratcheting applied area ranging origin spliceosome complex interdependence microbial community time take neutral allele become fixed genetic drift depends population size fixation rapid smaller population,evolution_theory
number individual population critical instead measure known effective population size,evolution_theory
effective population usually smaller total population since take account factor level inbreeding stage lifecycle population smallest,evolution_theory
effective population size may every gene population usually difficult measure relative importance selection neutral process including drift,evolution_theory
comparative importance adaptive nonadaptive force driving evolutionary change area current research mutation bias mutation bias usually conceived difference expected rate two different kind mutation eg transitiontransversion bias gcat bias deletioninsertion bias,evolution_theory
