text,label
artificial intelligence ai broadest sense intelligence exhibited machine particularly computer system,artificial_intelligence
field research computer science develops study method software enable machine perceive environment use learning intelligence take action maximize chance achieving defined goal,artificial_intelligence
machine may called ai highprofile application ai include advanced web search engine eg google search recommendation system used youtube amazon netflix interacting via human speech eg google assistant siri alexa autonomous vehicle eg waymo generative creative tool eg chatgpt ai art superhuman play analysis strategy game eg chess go,artificial_intelligence
however many ai application perceived ai lot cutting edge ai filtered general application often without called ai something becomes useful enough common enough labeled ai anymore various subfields ai research centered around particular goal use particular tool,artificial_intelligence
traditional goal ai research include reasoning knowledge representation planning learning natural language processing perception support robotics,artificial_intelligence
general intelligencethe ability complete task performable human least equal levelis among field longterm goal,artificial_intelligence
reach goal ai researcher adapted integrated wide range technique including search mathematical optimization formal logic artificial neural network method based statistic operation research economics,artificial_intelligence
ai also draw upon psychology linguistics philosophy neuroscience field artificial intelligence founded academic discipline field went multiple cycle optimism followed period disappointment loss funding known ai winter,artificial_intelligence
funding interest vastly increased deep learning outperformed previous ai technique,artificial_intelligence
growth accelerated transformer architecture early hundred billion dollar invested ai known ai boom,artificial_intelligence
widespread use ai st century exposed several unintended consequence harm present raised concern risk longterm effect future prompting discussion regulatory policy ensure safety benefit technology goal general problem simulating creating intelligence broken subproblems,artificial_intelligence
consist particular trait capability researcher expect intelligent system display,artificial_intelligence
trait described received attention cover scope ai research reasoning problemsolving early researcher developed algorithm imitated stepbystep reasoning human use solve puzzle make logical deduction,artificial_intelligence
late method developed dealing uncertain incomplete information employing concept probability economics many algorithm insufficient solving large reasoning problem experience combinatorial explosion become exponentially slower problem grow,artificial_intelligence
even human rarely use stepbystep deduction early ai research could model,artificial_intelligence
solve problem using fast intuitive judgment,artificial_intelligence
accurate efficient reasoning unsolved problem knowledge representation knowledge representation knowledge engineering allow ai program answer question intelligently make deduction realworld fact,artificial_intelligence
formal knowledge representation used contentbased indexing retrieval scene interpretation clinical decision support knowledge discovery mining interesting actionable inference large database area knowledge base body knowledge represented form used program,artificial_intelligence
ontology set object relation concept property used particular domain knowledge,artificial_intelligence
knowledge base need represent thing object property category relation object situation event state time cause effect knowledge knowledge know people know default reasoning thing human assume true told differently remain true even fact changing many aspect domain knowledge among difficult problem knowledge representation breadth commonsense knowledge set atomic fact average person know enormous subsymbolic form commonsense knowledge much people know represented fact statement could express verbally,artificial_intelligence
also difficulty knowledge acquisition problem obtaining knowledge ai application planning decisionmaking agent anything perceives take action world,artificial_intelligence
rational agent goal preference take action make happen,artificial_intelligence
automated decisionmaking agent preferencesthere situation would prefer situation trying avoid,artificial_intelligence
decisionmaking agent assigns number situation called utility measure much agent prefers,artificial_intelligence
possible action calculate expected utility utility possible outcome action weighted probability outcome occur,artificial_intelligence
choose action maximum expected utility classical planning agent know exactly effect action,artificial_intelligence
realworld problem however agent may certain situation unknown unobservable may know certain happen possible action deterministic,artificial_intelligence
must choose action making probabilistic guess reassess situation see action worked problem agent preference may uncertain especially agent human involved,artificial_intelligence
learned eg inverse reinforcement learning agent seek information improve preference,artificial_intelligence
information value theory used weigh value exploratory experimental action,artificial_intelligence
space possible future action situation typically intractably large agent must take action evaluate situation uncertain outcome markov decision process transition model describes probability particular action change state particular way reward function supply utility state cost action,artificial_intelligence
policy could calculated eg iteration heuristic learned game theory describes rational behavior multiple interacting agent used ai program make decision involve agent learning machine learning study program improve performance given task automatically,artificial_intelligence
part ai beginning several kind machine learning,artificial_intelligence
unsupervised learning analyzes stream data find pattern make prediction without guidance,artificial_intelligence
supervised learning requires human label input data first come two main variety classification program must learn predict category input belongs regression program must deduce numeric function based numeric input reinforcement learning agent rewarded good response punished bad one,artificial_intelligence
agent learns choose response classified good,artificial_intelligence
transfer learning knowledge gained one problem applied new problem,artificial_intelligence
deep learning type machine learning run input biologically inspired artificial neural network type learning computational learning theory assess learner computational complexity sample complexity much data required notion optimization natural language processing natural language processing nlp allows program read write communicate human language english,artificial_intelligence
specific problem include speech recognition speech synthesis machine translation information extraction information retrieval question answering early work based noam chomsky generative grammar semantic network difficulty wordsense disambiguation unless restricted small domain called microworlds due common sense knowledge problem,artificial_intelligence
margaret masterman believed meaning grammar key understanding language thesaurus dictionary basis computational language structure modern deep learning technique nlp include word embedding representing word typically vector encoding meaning transformer deep learning architecture using attention mechanism others,artificial_intelligence
generative pretrained transformer gpt language model began generate coherent text model able get humanlevel score bar exam sat test gre test many realworld application perception machine perception ability use input sensor camera microphone wireless signal active lidar sonar radar tactile sensor deduce aspect world,artificial_intelligence
computer vision ability analyze visual input field includes speech recognition image classification facial recognition object recognitionobject tracking robotic perception social intelligence affective computing interdisciplinary umbrella comprises system recognize interpret process simulate human feeling emotion mood,artificial_intelligence
example virtual assistant programmed speak conversationally even banter humorously make appear sensitive emotional dynamic human interaction otherwise facilitate humancomputer interaction however tends give nave user unrealistic conception intelligence existing computer agent,artificial_intelligence
moderate success related affective computing include textual sentiment analysis recently multimodal sentiment analysis wherein ai classifies affect displayed videotaped subject general intelligence machine artificial general intelligence able solve wide variety problem breadth versatility similar human intelligence technique ai research us wide variety technique accomplish goal search optimization ai solve many problem intelligently searching many possible solution,artificial_intelligence
two different kind search used ai state space search local search state space search state space search search tree possible state try find goal state,artificial_intelligence
example planning algorithm search tree goal subgoals attempting find path target goal process called meansends analysis simple exhaustive search rarely sufficient realworld problem search space number place search quickly grows astronomical number,artificial_intelligence
result search slow never completes,artificial_intelligence
heuristic rule thumb help prioritize choice likely reach goal adversarial search used gameplaying program chess go,artificial_intelligence
search tree possible move countermove looking winning position local search local search us mathematical optimization find solution problem,artificial_intelligence
begin form guess refines incrementally gradient descent type local search optimizes set numerical parameter incrementally adjusting minimize loss function,artificial_intelligence
variant gradient descent commonly used train neural network another type local search evolutionary computation aim iteratively improve set candidate solution mutating recombining selecting fittest survive generation distributed search process coordinate via swarm intelligence algorithm,artificial_intelligence
two popular swarm algorithm used search particle swarm optimization inspired bird flocking ant colony optimization inspired ant trail logic formal logic used reasoning knowledge representation formal logic come two main form propositional logic operates statement true false us logical connective implies predicate logic also operates object predicate relation us quantifier every x y deductive reasoning logic process proving new statement conclusion statement given assumed true premise,artificial_intelligence
proof structured proof tree node labelled sentence child node connected parent node inference rule given problem set premise problemsolving reduces searching proof tree whose root node labelled solution problem whose leaf node labelled premise axiom,artificial_intelligence
case horn clause problemsolving search performed reasoning forward premise backwards problem,artificial_intelligence
general case clausal form firstorder logic resolution single axiomfree rule inference problem solved proving contradiction premise include negation problem solved inference horn clause logic firstorder logic undecidable therefore intractable,artificial_intelligence
however backward reasoning horn clause underpins computation logic programming language prolog turing complete,artificial_intelligence
moreover efficiency competitive computation symbolic programming language fuzzy logic assigns degree truth,artificial_intelligence
therefore handle proposition vague partially true nonmonotonic logic including logic programming negation failure designed handle default reasoning,artificial_intelligence
specialized version logic developed describe many complex domain probabilistic method uncertain reasoning many problem ai including reasoning planning learning perception robotics require agent operate incomplete uncertain information,artificial_intelligence
ai researcher devised number tool solve problem using method probability theory economics,artificial_intelligence
precise mathematical tool developed analyze agent make choice plan using decision theory decision analysis information value theory,artificial_intelligence
tool include model markov decision process dynamic decision network game theory mechanism design bayesian network tool used reasoning using bayesian inference algorithm learning using expectationmaximization algorithm planning using decision network perception using dynamic bayesian network probabilistic algorithm also used filtering prediction smoothing finding explanation stream data thus helping perception system analyze process occur time eg hidden markov model kalman filter classifier statistical learning method simplest ai application divided two type classifier eg shiny diamond one hand controller eg diamond pick hand,artificial_intelligence
classifier function use pattern matching determine closest match,artificial_intelligence
finetuned based chosen example using supervised learning,artificial_intelligence
pattern also called observation labeled certain predefined class,artificial_intelligence
observation combined class label known data set,artificial_intelligence
new observation received observation classified based previous experience many kind classifier use,artificial_intelligence
decision tree simplest widely used symbolic machine learning algorithm,artificial_intelligence
knearest neighbor algorithm widely used analogical ai mids kernel method support vector machine svm displaced knearest neighbor naive bayes classifier reportedly widely used learner google due part scalability neural network also used classifier artificial neural network artificial neural network based collection node also known artificial neuron loosely model neuron biological brain,artificial_intelligence
trained recognise pattern trained recognise pattern fresh data,artificial_intelligence
input least one hidden layer node output,artificial_intelligence
node applies function weight cross specified threshold data transmitted next layer,artificial_intelligence
network typically called deep neural network least hidden layer learning algorithm neural network use local search choose weight get right output input training,artificial_intelligence
neural network learn model complex relationship input output find pattern data,artificial_intelligence
theory neural network learn function feedforward neural network signal pass one direction,artificial_intelligence
recurrent neural network feed output signal back input allows shortterm memory previous input event,artificial_intelligence
long short term memory successful network architecture recurrent network,artificial_intelligence
perceptrons use single layer neuron deep learning us multiple layer,artificial_intelligence
convolutional neural network strengthen connection neuron close otherthis especially important image processing local set neuron must identify edge network identify object deep learning deep learning us several layer neuron network input output,artificial_intelligence
multiple layer progressively extract higherlevel feature raw input,artificial_intelligence
example image processing lower layer may identify edge higher layer may identify concept relevant human digit letter face deep learning profoundly improved performance program many important subfields artificial intelligence including computer vision speech recognition natural language processing image classification others,artificial_intelligence
reason deep learning performs well many application known,artificial_intelligence
sudden success deep learning occur new discovery theoretical breakthrough deep neural network backpropagation described many people far back two factor incredible increase computer power including hundredfold increase speed switching gpus availability vast amount training data especially giant curated datasets used benchmark testing imagenet gpt generative pretrained transformer gpt large language model llm generate text based semantic relationship word sentence,artificial_intelligence
textbased gpt model pretrained large corpus text internet,artificial_intelligence
pretraining consists predicting next token token usually word subword punctuation,artificial_intelligence
throughout pretraining gpt model accumulate knowledge world generate humanlike text repeatedly predicting next token,artificial_intelligence
typically subsequent training phase make model truthful useful harmless usually technique called reinforcement learning human feedback rlhf,artificial_intelligence
current gpt model prone generating falsehood called hallucination although reduced rlhf quality data,artificial_intelligence
used chatbots allow people ask question request task simple text current model service include gemini formerly bard chatgpt grok claude copilot llama,artificial_intelligence
multimodal gpt model process different type data modality image video sound text hardware software late graphic processing unit gpus increasingly designed aispecific enhancement used specialized tensorflow software replaced previously used central processing unit cpu dominant mean largescale commercial academic machine learning model training,artificial_intelligence
specialized programming language prolog used early ai research generalpurpose programming language like python become predominant transistor density integrated circuit observed roughly double every monthsa trend known moore law named intel cofounder gordon moore first identified,artificial_intelligence
